time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 19:10:02,64.138215000,-21.932216667,96.66,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:38:42,64.134120000,-21.933250000,353.23,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:38:52,64.135885000,-21.933266667,9.59,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:06:53,64.124213333,-21.821666667,273.38,2,5,90000019,90000414,6,0207,5-A
2023-11-01 19:10:13,64.138666667,-21.931266667,50.11,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:07:03,64.124213333,-21.821666667,273.38,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:07:11,64.124215000,-21.821666667,273.38,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:39:03,64.136000000,-21.933216667,4.32,2,5,90000009,90000834,2,0207,5-A
2023-11-01 19:10:23,64.139011667,-21.930416667,48.16,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:39:14,64.135996667,-21.933216667,4.32,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:39:24,64.135995000,-21.933216667,4.32,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:07:21,64.124213333,-21.821666667,273.38,2,5,90000019,90000414,6,0207,5-A
2023-11-01 19:10:34,64.139626667,-21.928633333,57.74,2,5,90000829,90000830,6,0207,5-A
2023-11-01 20:07:32,64.124213333,-21.821683333,273.38,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:07:42,64.124198333,-21.821866667,272.26,2,5,90000019,90000414,3,0207,5-A
2023-11-01 20:39:35,64.135991667,-21.933216667,4.32,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:39:45,64.136028333,-21.933200000,11.15,2,5,90000009,90000834,3,0207,5-A
2023-11-01 19:10:44,64.140005000,-21.927233333,59.27,2,5,90000829,90000830,6,0207,5-A
2023-11-01 20:39:56,64.136875000,-21.933000000,13.43,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:07:53,64.124151667,-21.822883333,261.25,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:08:04,64.124076667,-21.825150000,267.87,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:40:06,64.137440000,-21.932450000,25.64,2,5,90000009,90000834,6,0207,5-A
2023-11-01 19:10:55,64.140168333,-21.926550000,59.61,2,5,90000829,90000830,2,0207,5-A
2023-11-01 20:40:16,64.137775000,-21.933000000,288.76,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:08:14,64.123976667,-21.832766667,269.35,2,5,90000019,90000414,6,0207,5-A
2023-11-01 19:11:05,64.140193333,-21.926483333,55.72,2,5,90000829,90000830,3,0207,5-A
2023-11-01 20:08:25,64.124038333,-21.836366667,274.58,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:08:36,64.124223333,-21.840100000,278.30,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:40:27,64.138076667,-21.934216667,14.17,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:40:37,64.138288333,-21.932866667,114.63,2,5,90000834,90000829,6,0207,5-A
2023-11-01 19:11:16,64.140481667,-21.925483333,57.87,2,5,90000829,90000830,6,0207,5-A
2023-11-01 20:40:47,64.138273333,-21.932800000,118.23,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:08:44,64.124490000,-21.843650000,281.44,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:40:58,64.138260000,-21.932700000,111.68,2,5,90000834,90000829,3,0207,5-A
2023-11-01 20:08:54,64.125470000,-21.850833333,292.91,2,5,90000019,90000414,6,0207,5-A
2023-11-01 19:11:26,64.140956667,-21.923666667,61.03,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:09:05,64.126023333,-21.853916667,293.08,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:41:08,64.138213333,-21.932250000,98.03,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:41:18,64.138303333,-21.931300000,29.18,2,5,90000834,90000829,6,0207,5-A
2023-11-01 19:11:37,64.141245000,-21.922550000,60.87,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:41:29,64.138608333,-21.931416667,63.05,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:09:15,64.126431667,-21.856233333,295.69,2,5,90000019,90000414,6,0207,5-A
2023-11-01 20:09:26,64.126658333,-21.857350000,295.69,2,5,90000414,90000039,7,0207,5-A
2023-11-01 19:11:47,64.141590000,-21.921433333,40.34,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:09:37,64.126675000,-21.857416667,288.56,2,5,90000414,90000039,3,0207,5-A
2023-11-01 20:41:37,64.139068333,-21.930250000,50.24,2,5,90000834,90000829,6,0207,5-A
2023-11-01 20:41:47,64.139685000,-21.928350000,59.96,2,5,90000829,90000830,6,0207,5-A
2023-11-01 20:41:57,64.140221667,-21.926500000,46.90,2,5,90000829,90000830,2,0207,5-A
2023-11-01 20:42:08,64.140535000,-21.925333333,51.98,2,5,90000829,90000830,6,0207,5-A
2023-11-01 20:09:47,64.126845000,-21.858700000,290.99,2,5,90000414,90000039,6,0207,5-A
2023-11-01 20:09:58,64.127300000,-21.860883333,312.59,2,5,90000414,90000039,6,0207,5-A
2023-11-01 20:10:06,64.128148333,-21.862083333,297.86,2,5,90000414,90000039,6,0207,5-A
2023-11-01 20:42:18,64.140796667,-21.924366667,58.48,2,5,90000829,90000830,6,0207,5-A
2023-11-01 19:11:58,64.142075000,-21.920700000,58.87,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:42:29,64.140948333,-21.923816667,58.29,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:10:17,64.128516667,-21.863200000,347.39,2,5,90000414,90000039,6,0207,5-A
2023-11-01 19:13:02,64.142396667,-21.917166667,18.40,2,5,90000830,90000295,2,0207,5-A
2023-11-01 20:10:27,64.129576667,-21.863183333,3.03,2,5,90000039,90000041,7,0207,5-A
2023-11-01 20:10:38,64.129573333,-21.863200000,3.03,2,5,90000039,90000041,6,0207,5-A
2023-11-01 20:42:39,64.141108333,-21.923200000,60.02,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:42:49,64.141910000,-21.920966667,28.36,2,5,90000830,90000295,6,0207,5-A
2023-11-01 19:13:12,64.142425000,-21.917133333,13.60,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:43:00,64.142120000,-21.920516667,97.83,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:43:10,64.141846667,-21.919566667,116.35,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:10:48,64.129611667,-21.863200000,354.21,2,5,90000039,90000041,3,0207,5-A
2023-11-01 20:11:38,64.131598333,-21.865816667,313.08,2,5,90000039,90000041,3,0207,5-A
2023-11-01 19:13:23,64.142738333,-21.916800000,26.64,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:11:49,64.132188333,-21.867000000,321.65,2,5,90000039,90000041,6,0207,5-A
2023-11-01 20:43:21,64.141655000,-21.918666667,109.32,2,5,90000830,90000295,2,0207,5-A
2023-11-01 19:13:33,64.143041667,-21.916466667,24.37,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:43:31,64.141573333,-21.918616667,109.32,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:43:42,64.141558333,-21.918616667,109.32,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:11:59,64.133326667,-21.868916667,332.97,2,5,90000041,90000046,6,0207,5-A
2023-11-01 20:12:10,64.133443333,-21.869066667,326.00,2,5,90000041,90000046,7,0207,5-A
2023-11-01 19:13:44,64.143473333,-21.916083333,16.66,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:12:20,64.133460000,-21.869083333,326.00,2,5,90000041,90000046,6,0207,5-A
2023-11-01 20:43:52,64.141556667,-21.918616667,109.32,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:44:03,64.141633333,-21.917933333,39.52,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:12:31,64.133471667,-21.869133333,305.03,2,5,90000041,90000046,3,0207,5-A
2023-11-01 19:13:54,64.143666667,-21.915833333,21.38,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:12:41,64.133998333,-21.870133333,321.72,2,5,90000041,90000046,6,0207,5-A
2023-11-01 20:44:13,64.142263333,-21.917300000,25.72,2,5,90000830,90000295,6,0207,5-A
2023-11-01 19:14:05,64.143666667,-21.915833333,21.38,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:44:23,64.142706667,-21.916850000,24.68,2,5,90000830,90000295,6,0207,5-A
2023-11-01 20:44:34,64.143155000,-21.916366667,29.66,2,5,90000295,90000030,3,0207,5-A
2023-11-01 20:12:51,64.135853333,-21.873350000,322.63,2,5,90000041,90000046,6,0207,5-A
2023-11-01 20:13:01,64.136298333,-21.874016667,328.12,2,5,90000046,90000047,6,0207,5-A
2023-11-01 19:14:15,64.143668333,-21.915833333,21.38,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:13:12,64.136298333,-21.874016667,328.12,2,5,90000046,90000047,6,0207,5-A
2023-11-01 20:44:44,64.143800000,-21.915666667,27.00,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:44:55,64.143826667,-21.914883333,113.25,2,5,90000295,90000030,6,0207,5-A
