service_id,date,exception_type
20230823_MTWTF--_72,20231012,1
20220522_MTWTF--_1,20231013,1
20220522_MTWTF--_2,20231013,1
20220522_MTWTF--_3,20231013,1
20220904_----F--_8,20231013,1
20220904_M-W-F--_11,20231013,1
20220904_MT--F--_12,20231013,1
20220904_MT-TF--_13,20231013,1
20220904_MTW-F--_14,20231013,1
20220904_MTWTF--_16,20231013,1
20220904_MTWTF--_20,20231013,1
20220904_MTWTF--_28,20231013,1
20220904_MTWTF--_80,20231013,1
20220905_MTWTF--_29,20231013,1
20220905_MTWTF--_38,20231013,1
20220926_M-W-F--_36,20231013,1
20230820_----F--_41,20231013,1
20230820_MTWTF--_42,20231013,1
20230821_MTWTF--_48,20231013,1
20230821_MTWTF--_49,20231013,1
20230823_MTWTF--_72,20231013,1
20230831_----F--_74,20231013,1
20230928_----F--_79,20231013,1
20220522_-----S-_5,20231014,1
20220904_-----S-_18,20231014,1
20220904_-----S-_27,20231014,1
20220904_-----S-_7,20231014,1
20230820_-----S-_40,20231014,1
20230820_-----S-_44,20231014,1
20230821_-----S-_50,20231014,1
20230928_-----S-_78,20231014,1
20220522_------S_4,20231015,1
20220904_------S_17,20231015,1
20220904_------S_19,20231015,1
20220926_------S_34,20231015,1
20230820_------S_39,20231015,1
20230820_------S_43,20231015,1
20230831_------S_73,20231015,1
20220522_MTWTF--_1,20231016,1
20220522_MTWTF--_2,20231016,1
20220522_MTWTF--_3,20231016,1
20220904_M-W-F--_11,20231016,1
20220904_MT--F--_12,20231016,1
20220904_MT-TF--_13,20231016,1
20220904_MTW-F--_14,20231016,1
20220904_MTWT---_15,20231016,1
20220904_MTWTF--_16,20231016,1
20220904_MTWTF--_20,20231016,1
20220904_MTWTF--_28,20231016,1
20220904_MTWTF--_80,20231016,1
20220905_MTWTF--_29,20231016,1
20220905_MTWTF--_38,20231016,1
20220926_M-W-F--_36,20231016,1
20230820_MTWTF--_42,20231016,1
20230821_MTWTF--_48,20231016,1
20230821_MTWTF--_49,20231016,1
20230823_MTWTF--_72,20231016,1
20220522_MTWTF--_1,20231017,1
20220522_MTWTF--_2,20231017,1
20220522_MTWTF--_3,20231017,1
20220904_-T-----_24,20231017,1
20220904_MT--F--_12,20231017,1
20220904_MT-TF--_13,20231017,1
20220904_MTW-F--_14,20231017,1
20220904_MTWT---_15,20231017,1
20220904_MTWTF--_16,20231017,1
20220904_MTWTF--_20,20231017,1
20220904_MTWTF--_28,20231017,1
20220904_MTWTF--_80,20231017,1
20220905_MTWTF--_29,20231017,1
20220905_MTWTF--_38,20231017,1
20230820_MTWTF--_42,20231017,1
20230821_MTWTF--_48,20231017,1
20230821_MTWTF--_49,20231017,1
20230823_MTWTF--_72,20231017,1
20220522_MTWTF--_1,20231018,1
20220522_MTWTF--_2,20231018,1
20220522_MTWTF--_3,20231018,1
20220904_--W----_71,20231018,1
20220904_--WT---_10,20231018,1
20220904_M-W-F--_11,20231018,1
20220904_MTW-F--_14,20231018,1
20220904_MTWT---_15,20231018,1
20220904_MTWTF--_16,20231018,1
20220904_MTWTF--_20,20231018,1
20220904_MTWTF--_28,20231018,1
20220904_MTWTF--_80,20231018,1
20220905_MTWTF--_29,20231018,1
20220905_MTWTF--_38,20231018,1
20220926_M-W-F--_36,20231018,1
20230820_MTWTF--_42,20231018,1
20230821_MTWTF--_48,20231018,1
20230821_MTWTF--_49,20231018,1
20230823_MTWTF--_72,20231018,1
20220522_MTWTF--_1,20231019,1
20220522_MTWTF--_2,20231019,1
20220522_MTWTF--_3,20231019,1
20220904_---T---_9,20231019,1
20220904_--WT---_10,20231019,1
20220904_MT-TF--_13,20231019,1
20220904_MTWT---_15,20231019,1
20220904_MTWTF--_16,20231019,1
20220904_MTWTF--_20,20231019,1
20220904_MTWTF--_28,20231019,1
